,artist,endTime,sum,week,date
0,Trombone Shorty,2016-05-18 20:26:55,10,1,2016-05-18
1,Trombone Shorty,2016-06-01 20:26:55,16,2,2016-06-01
2,Trombone Shorty,2016-06-15 20:26:55,16,3,2016-06-15
3,Trombone Shorty,2016-06-29 20:26:55,18,4,2016-06-29
4,Trombone Shorty,2016-07-13 20:26:55,20,5,2016-07-13
5,Trombone Shorty,2016-07-27 20:26:55,20,6,2016-07-27
6,Trombone Shorty,2016-08-10 20:26:55,20,7,2016-08-10
7,Trombone Shorty,2016-08-24 20:26:55,20,8,2016-08-24
8,Trombone Shorty,2016-09-07 20:26:55,23,9,2016-09-07
9,Trombone Shorty,2016-09-21 20:26:55,23,10,2016-09-21
10,Trombone Shorty,2016-10-05 20:26:55,23,11,2016-10-05
11,Trombone Shorty,2016-10-19 20:26:55,23,12,2016-10-19
12,Trombone Shorty,2016-11-02 20:26:55,29,13,2016-11-02
13,Trombone Shorty,2016-11-16 20:26:55,29,14,2016-11-16
14,Trombone Shorty,2016-11-30 20:26:55,29,15,2016-11-30
15,Trombone Shorty,2016-12-14 20:26:55,30,16,2016-12-14
16,Trombone Shorty,2016-12-28 20:26:55,30,17,2016-12-28
17,Trombone Shorty,2017-01-11 20:26:55,30,18,2017-01-11
18,Trombone Shorty,2017-01-25 20:26:55,31,19,2017-01-25
19,Trombone Shorty,2017-02-08 20:26:55,31,20,2017-02-08
20,Trombone Shorty,2017-02-22 20:26:55,31,21,2017-02-22
21,Trombone Shorty,2017-03-08 20:26:55,31,22,2017-03-08
22,Trombone Shorty,2017-03-22 20:26:55,31,23,2017-03-22
23,Trombone Shorty,2017-04-05 20:26:55,31,24,2017-04-05
24,Trombone Shorty,2017-04-19 20:26:55,31,25,2017-04-19
25,Trombone Shorty,2017-05-03 20:26:55,31,26,2017-05-03
26,Trombone Shorty,2017-05-17 20:26:55,31,27,2017-05-17
27,Trombone Shorty,2017-05-31 20:26:55,31,28,2017-05-31
28,Trombone Shorty,2017-06-14 20:26:55,31,29,2017-06-14
29,Trombone Shorty,2017-06-28 20:26:55,31,30,2017-06-28
30,Trombone Shorty,2017-07-12 20:26:55,31,31,2017-07-12
31,Trombone Shorty,2017-07-26 20:26:55,31,32,2017-07-26
32,Trombone Shorty,2017-08-09 20:26:55,31,33,2017-08-09
33,Trombone Shorty,2017-08-23 20:26:55,31,34,2017-08-23
34,Trombone Shorty,2017-09-06 20:26:55,34,35,2017-09-06
35,Trombone Shorty,2017-09-20 20:26:55,34,36,2017-09-20
36,Trombone Shorty,2017-10-04 20:26:55,34,37,2017-10-04
37,Trombone Shorty,2017-10-18 20:26:55,34,38,2017-10-18
38,Trombone Shorty,2017-11-01 20:26:55,34,39,2017-11-01
39,Trombone Shorty,2017-11-15 20:26:55,34,40,2017-11-15
40,Trombone Shorty,2017-11-29 20:26:55,34,41,2017-11-29
41,Trombone Shorty,2017-12-13 20:26:55,34,42,2017-12-13
42,Trombone Shorty,2017-12-27 20:26:55,34,43,2017-12-27
43,Trombone Shorty,2018-01-10 20:26:55,34,44,2018-01-10
44,Trombone Shorty,2018-01-24 20:26:55,34,45,2018-01-24
45,Trombone Shorty,2018-02-07 20:26:55,34,46,2018-02-07
46,Trombone Shorty,2018-02-21 20:26:55,34,47,2018-02-21
47,Trombone Shorty,2018-03-07 20:26:55,34,48,2018-03-07
48,Trombone Shorty,2018-03-21 20:26:55,34,49,2018-03-21
49,Trombone Shorty,2018-04-04 20:26:55,35,50,2018-04-04
50,Trombone Shorty,2018-04-18 20:26:55,35,51,2018-04-18
51,Trombone Shorty,2018-05-02 20:26:55,35,52,2018-05-02
52,Trombone Shorty,2018-05-16 20:26:55,35,53,2018-05-16
53,Trombone Shorty,2018-05-30 20:26:55,35,54,2018-05-30
54,Trombone Shorty,2018-06-13 20:26:55,35,55,2018-06-13
55,Trombone Shorty,2018-06-27 20:26:55,35,56,2018-06-27
56,Trombone Shorty,2018-07-11 20:26:55,35,57,2018-07-11
57,Trombone Shorty,2018-07-25 20:26:55,35,58,2018-07-25
58,Trombone Shorty,2018-08-08 20:26:55,35,59,2018-08-08
59,Trombone Shorty,2018-08-22 20:26:55,35,60,2018-08-22
60,Trombone Shorty,2018-09-05 20:26:55,35,61,2018-09-05
61,Trombone Shorty,2018-09-19 20:26:55,35,62,2018-09-19
62,Trombone Shorty,2018-10-03 20:26:55,35,63,2018-10-03
63,Trombone Shorty,2018-10-17 20:26:55,35,64,2018-10-17
64,Trombone Shorty,2018-10-31 20:26:55,35,65,2018-10-31
65,Trombone Shorty,2018-11-14 20:26:55,35,66,2018-11-14
66,Trombone Shorty,2018-11-28 20:26:55,35,67,2018-11-28
67,Trombone Shorty,2018-12-12 20:26:55,35,68,2018-12-12
