,artist,endTime,sum,week,date
0,The Black Keys,2016-02-17 19:25:57,1,1,2016-02-17
1,The Black Keys,2016-03-02 19:25:57,1,2,2016-03-02
2,The Black Keys,2016-03-16 19:25:57,1,3,2016-03-16
3,The Black Keys,2016-03-30 19:25:57,1,4,2016-03-30
4,The Black Keys,2016-04-13 19:25:57,1,5,2016-04-13
5,The Black Keys,2016-04-27 19:25:57,1,6,2016-04-27
6,The Black Keys,2016-05-11 19:25:57,2,7,2016-05-11
7,The Black Keys,2016-05-25 19:25:57,2,8,2016-05-25
8,The Black Keys,2016-06-08 19:25:57,2,9,2016-06-08
9,The Black Keys,2016-06-22 19:25:57,2,10,2016-06-22
10,The Black Keys,2016-07-06 19:25:57,2,11,2016-07-06
11,The Black Keys,2016-07-20 19:25:57,2,12,2016-07-20
12,The Black Keys,2016-08-03 19:25:57,2,13,2016-08-03
13,The Black Keys,2016-08-17 19:25:57,2,14,2016-08-17
14,The Black Keys,2016-08-31 19:25:57,7,15,2016-08-31
15,The Black Keys,2016-09-14 19:25:57,7,16,2016-09-14
16,The Black Keys,2016-09-28 19:25:57,7,17,2016-09-28
17,The Black Keys,2016-10-12 19:25:57,7,18,2016-10-12
18,The Black Keys,2016-10-26 19:25:57,7,19,2016-10-26
19,The Black Keys,2016-11-09 19:25:57,7,20,2016-11-09
20,The Black Keys,2016-11-23 19:25:57,7,21,2016-11-23
21,The Black Keys,2016-12-07 19:25:57,8,22,2016-12-07
22,The Black Keys,2016-12-21 19:25:57,8,23,2016-12-21
23,The Black Keys,2017-01-04 19:25:57,8,24,2017-01-04
24,The Black Keys,2017-01-18 19:25:57,8,25,2017-01-18
25,The Black Keys,2017-02-01 19:25:57,8,26,2017-02-01
26,The Black Keys,2017-02-15 19:25:57,8,27,2017-02-15
27,The Black Keys,2017-03-01 19:25:57,8,28,2017-03-01
28,The Black Keys,2017-03-15 19:25:57,8,29,2017-03-15
29,The Black Keys,2017-03-29 19:25:57,8,30,2017-03-29
30,The Black Keys,2017-04-12 19:25:57,8,31,2017-04-12
31,The Black Keys,2017-04-26 19:25:57,8,32,2017-04-26
32,The Black Keys,2017-05-10 19:25:57,8,33,2017-05-10
33,The Black Keys,2017-05-24 19:25:57,8,34,2017-05-24
34,The Black Keys,2017-06-07 19:25:57,8,35,2017-06-07
35,The Black Keys,2017-06-21 19:25:57,8,36,2017-06-21
36,The Black Keys,2017-07-05 19:25:57,8,37,2017-07-05
37,The Black Keys,2017-07-19 19:25:57,8,38,2017-07-19
38,The Black Keys,2017-08-02 19:25:57,8,39,2017-08-02
39,The Black Keys,2017-08-16 19:25:57,8,40,2017-08-16
40,The Black Keys,2017-08-30 19:25:57,8,41,2017-08-30
41,The Black Keys,2017-09-13 19:25:57,8,42,2017-09-13
42,The Black Keys,2017-09-27 19:25:57,8,43,2017-09-27
43,The Black Keys,2017-10-11 19:25:57,8,44,2017-10-11
44,The Black Keys,2017-10-25 19:25:57,8,45,2017-10-25
45,The Black Keys,2017-11-08 19:25:57,8,46,2017-11-08
46,The Black Keys,2017-11-22 19:25:57,8,47,2017-11-22
47,The Black Keys,2017-12-06 19:25:57,8,48,2017-12-06
48,The Black Keys,2017-12-20 19:25:57,8,49,2017-12-20
49,The Black Keys,2018-01-03 19:25:57,8,50,2018-01-03
50,The Black Keys,2018-01-17 19:25:57,8,51,2018-01-17
51,The Black Keys,2018-01-31 19:25:57,8,52,2018-01-31
52,The Black Keys,2018-02-14 19:25:57,8,53,2018-02-14
53,The Black Keys,2018-02-28 19:25:57,8,54,2018-02-28
54,The Black Keys,2018-03-14 19:25:57,8,55,2018-03-14
55,The Black Keys,2018-03-28 19:25:57,8,56,2018-03-28
56,The Black Keys,2018-04-11 19:25:57,8,57,2018-04-11
57,The Black Keys,2018-04-25 19:25:57,8,58,2018-04-25
58,The Black Keys,2018-05-09 19:25:57,8,59,2018-05-09
59,The Black Keys,2018-05-23 19:25:57,8,60,2018-05-23
60,The Black Keys,2018-06-06 19:25:57,8,61,2018-06-06
61,The Black Keys,2018-06-20 19:25:57,8,62,2018-06-20
62,The Black Keys,2018-07-04 19:25:57,8,63,2018-07-04
63,The Black Keys,2018-07-18 19:25:57,8,64,2018-07-18
64,The Black Keys,2018-08-01 19:25:57,8,65,2018-08-01
65,The Black Keys,2018-08-15 19:25:57,8,66,2018-08-15
66,The Black Keys,2018-08-29 19:25:57,8,67,2018-08-29
67,The Black Keys,2018-09-12 19:25:57,8,68,2018-09-12
68,The Black Keys,2018-09-26 19:25:57,8,69,2018-09-26
69,The Black Keys,2018-10-10 19:25:57,8,70,2018-10-10
70,The Black Keys,2018-10-24 19:25:57,8,71,2018-10-24
71,The Black Keys,2018-11-07 19:25:57,8,72,2018-11-07
72,The Black Keys,2018-11-21 19:25:57,8,73,2018-11-21
73,The Black Keys,2018-12-05 19:25:57,8,74,2018-12-05
74,The Black Keys,2018-12-19 19:25:57,8,75,2018-12-19
75,The Black Keys,2019-01-02 19:25:57,8,76,2019-01-02
76,The Black Keys,2019-01-16 19:25:57,8,77,2019-01-16
77,The Black Keys,2019-01-30 19:25:57,8,78,2019-01-30
78,The Black Keys,2019-02-13 19:25:57,8,79,2019-02-13
79,The Black Keys,2019-02-27 19:25:57,8,80,2019-02-27
80,The Black Keys,2019-03-13 19:25:57,8,81,2019-03-13
81,The Black Keys,2019-03-27 19:25:57,8,82,2019-03-27
82,The Black Keys,2019-04-10 19:25:57,8,83,2019-04-10
83,The Black Keys,2019-04-24 19:25:57,8,84,2019-04-24
84,The Black Keys,2019-05-08 19:25:57,8,85,2019-05-08
85,The Black Keys,2019-05-22 19:25:57,8,86,2019-05-22
86,The Black Keys,2019-06-05 19:25:57,8,87,2019-06-05
87,The Black Keys,2019-06-19 19:25:57,8,88,2019-06-19
88,The Black Keys,2019-07-03 19:25:57,8,89,2019-07-03
89,The Black Keys,2019-07-17 19:25:57,8,90,2019-07-17
90,The Black Keys,2019-07-31 19:25:57,9,91,2019-07-31
91,The Black Keys,2019-08-14 19:25:57,9,92,2019-08-14
92,The Black Keys,2019-08-28 19:25:57,9,93,2019-08-28
93,The Black Keys,2019-09-11 19:25:57,9,94,2019-09-11
94,The Black Keys,2019-09-25 19:25:57,9,95,2019-09-25
95,The Black Keys,2019-10-09 19:25:57,9,96,2019-10-09
96,The Black Keys,2019-10-23 19:25:57,9,97,2019-10-23
97,The Black Keys,2019-11-06 19:25:57,9,98,2019-11-06
98,The Black Keys,2019-11-20 19:25:57,9,99,2019-11-20
99,The Black Keys,2019-12-04 19:25:57,9,100,2019-12-04
100,The Black Keys,2019-12-18 19:25:57,9,101,2019-12-18
101,The Black Keys,2020-01-01 19:25:57,9,102,2020-01-01
102,The Black Keys,2020-01-15 19:25:57,9,103,2020-01-15
103,The Black Keys,2020-01-29 19:25:57,9,104,2020-01-29
104,The Black Keys,2020-02-12 19:25:57,9,105,2020-02-12
105,The Black Keys,2020-02-26 19:25:57,9,106,2020-02-26
106,The Black Keys,2020-03-11 19:25:57,9,107,2020-03-11
107,The Black Keys,2020-03-25 19:25:57,9,108,2020-03-25
108,The Black Keys,2020-04-08 19:25:57,9,109,2020-04-08
109,Cage The Elephant,2016-02-17 19:25:57,0,1,2016-02-17
110,Cage The Elephant,2016-03-02 19:25:57,0,2,2016-03-02
111,Cage The Elephant,2016-03-16 19:25:57,0,3,2016-03-16
112,Cage The Elephant,2016-03-30 19:25:57,0,4,2016-03-30
113,Cage The Elephant,2016-04-13 19:25:57,0,5,2016-04-13
114,Cage The Elephant,2016-04-27 19:25:57,0,6,2016-04-27
115,Cage The Elephant,2016-05-11 19:25:57,2,7,2016-05-11
116,Cage The Elephant,2016-05-25 19:25:57,2,8,2016-05-25
117,Cage The Elephant,2016-06-08 19:25:57,2,9,2016-06-08
118,Cage The Elephant,2016-06-22 19:25:57,2,10,2016-06-22
119,Cage The Elephant,2016-07-06 19:25:57,2,11,2016-07-06
120,Cage The Elephant,2016-07-20 19:25:57,2,12,2016-07-20
121,Cage The Elephant,2016-08-03 19:25:57,2,13,2016-08-03
122,Cage The Elephant,2016-08-17 19:25:57,2,14,2016-08-17
123,Cage The Elephant,2016-08-31 19:25:57,2,15,2016-08-31
124,Cage The Elephant,2016-09-14 19:25:57,2,16,2016-09-14
125,Cage The Elephant,2016-09-28 19:25:57,2,17,2016-09-28
126,Cage The Elephant,2016-10-12 19:25:57,2,18,2016-10-12
127,Cage The Elephant,2016-10-26 19:25:57,2,19,2016-10-26
128,Cage The Elephant,2016-11-09 19:25:57,2,20,2016-11-09
129,Cage The Elephant,2016-11-23 19:25:57,2,21,2016-11-23
130,Cage The Elephant,2016-12-07 19:25:57,2,22,2016-12-07
131,Cage The Elephant,2016-12-21 19:25:57,2,23,2016-12-21
132,Cage The Elephant,2017-01-04 19:25:57,2,24,2017-01-04
133,Cage The Elephant,2017-01-18 19:25:57,2,25,2017-01-18
134,Cage The Elephant,2017-02-01 19:25:57,2,26,2017-02-01
135,Cage The Elephant,2017-02-15 19:25:57,2,27,2017-02-15
136,Cage The Elephant,2017-03-01 19:25:57,2,28,2017-03-01
137,Cage The Elephant,2017-03-15 19:25:57,2,29,2017-03-15
138,Cage The Elephant,2017-03-29 19:25:57,2,30,2017-03-29
139,Cage The Elephant,2017-04-12 19:25:57,2,31,2017-04-12
140,Cage The Elephant,2017-04-26 19:25:57,2,32,2017-04-26
141,Cage The Elephant,2017-05-10 19:25:57,3,33,2017-05-10
142,Cage The Elephant,2017-05-24 19:25:57,3,34,2017-05-24
143,Cage The Elephant,2017-06-07 19:25:57,3,35,2017-06-07
144,Cage The Elephant,2017-06-21 19:25:57,3,36,2017-06-21
145,Cage The Elephant,2017-07-05 19:25:57,3,37,2017-07-05
146,Cage The Elephant,2017-07-19 19:25:57,3,38,2017-07-19
147,Cage The Elephant,2017-08-02 19:25:57,3,39,2017-08-02
148,Cage The Elephant,2017-08-16 19:25:57,3,40,2017-08-16
149,Cage The Elephant,2017-08-30 19:25:57,3,41,2017-08-30
150,Cage The Elephant,2017-09-13 19:25:57,3,42,2017-09-13
151,Cage The Elephant,2017-09-27 19:25:57,3,43,2017-09-27
152,Cage The Elephant,2017-10-11 19:25:57,3,44,2017-10-11
153,Cage The Elephant,2017-10-25 19:25:57,3,45,2017-10-25
154,Cage The Elephant,2017-11-08 19:25:57,3,46,2017-11-08
155,Cage The Elephant,2017-11-22 19:25:57,3,47,2017-11-22
156,Cage The Elephant,2017-12-06 19:25:57,3,48,2017-12-06
157,Cage The Elephant,2017-12-20 19:25:57,3,49,2017-12-20
158,Cage The Elephant,2018-01-03 19:25:57,3,50,2018-01-03
