,artist,endTime,sum,week,date
0,Of Monsters And Men,2016-02-17 19:39:57,2,1,2016-02-17
1,Of Monsters And Men,2016-03-02 19:39:57,2,2,2016-03-02
2,Of Monsters And Men,2016-03-16 19:39:57,2,3,2016-03-16
3,Of Monsters And Men,2016-03-30 19:39:57,2,4,2016-03-30
4,Of Monsters And Men,2016-04-13 19:39:57,2,5,2016-04-13
5,Of Monsters And Men,2016-04-27 19:39:57,2,6,2016-04-27
6,Of Monsters And Men,2016-05-11 19:39:57,2,7,2016-05-11
7,Of Monsters And Men,2016-05-25 19:39:57,2,8,2016-05-25
8,Of Monsters And Men,2016-06-08 19:39:57,2,9,2016-06-08
9,Of Monsters And Men,2016-06-22 19:39:57,2,10,2016-06-22
10,Of Monsters And Men,2016-07-06 19:39:57,2,11,2016-07-06
11,Of Monsters And Men,2016-07-20 19:39:57,2,12,2016-07-20
12,Of Monsters And Men,2016-08-03 19:39:57,2,13,2016-08-03
13,Of Monsters And Men,2016-08-17 19:39:57,2,14,2016-08-17
14,Of Monsters And Men,2016-08-31 19:39:57,2,15,2016-08-31
15,Of Monsters And Men,2016-09-14 19:39:57,2,16,2016-09-14
16,Of Monsters And Men,2016-09-28 19:39:57,2,17,2016-09-28
17,Of Monsters And Men,2016-10-12 19:39:57,2,18,2016-10-12
18,Of Monsters And Men,2016-10-26 19:39:57,2,19,2016-10-26
19,Of Monsters And Men,2016-11-09 19:39:57,2,20,2016-11-09
20,Of Monsters And Men,2016-11-23 19:39:57,2,21,2016-11-23
21,Of Monsters And Men,2016-12-07 19:39:57,2,22,2016-12-07
22,Of Monsters And Men,2016-12-21 19:39:57,2,23,2016-12-21
23,Of Monsters And Men,2017-01-04 19:39:57,2,24,2017-01-04
24,Of Monsters And Men,2017-01-18 19:39:57,2,25,2017-01-18
25,Of Monsters And Men,2017-02-01 19:39:57,2,26,2017-02-01
26,Of Monsters And Men,2017-02-15 19:39:57,2,27,2017-02-15
27,Of Monsters And Men,2017-03-01 19:39:57,2,28,2017-03-01
28,Of Monsters And Men,2017-03-15 19:39:57,2,29,2017-03-15
29,Of Monsters And Men,2017-03-29 19:39:57,2,30,2017-03-29
30,Of Monsters And Men,2017-04-12 19:39:57,2,31,2017-04-12
31,Of Monsters And Men,2017-04-26 19:39:57,2,32,2017-04-26
32,Of Monsters And Men,2017-05-10 19:39:57,2,33,2017-05-10
33,Of Monsters And Men,2017-05-24 19:39:57,2,34,2017-05-24
34,Of Monsters And Men,2017-06-07 19:39:57,2,35,2017-06-07
35,Of Monsters And Men,2017-06-21 19:39:57,2,36,2017-06-21
36,Of Monsters And Men,2017-07-05 19:39:57,2,37,2017-07-05
37,Of Monsters And Men,2017-07-19 19:39:57,2,38,2017-07-19
38,Of Monsters And Men,2017-08-02 19:39:57,2,39,2017-08-02
39,Of Monsters And Men,2017-08-16 19:39:57,2,40,2017-08-16
40,Of Monsters And Men,2017-08-30 19:39:57,2,41,2017-08-30
41,Of Monsters And Men,2017-09-13 19:39:57,2,42,2017-09-13
42,Of Monsters And Men,2017-09-27 19:39:57,2,43,2017-09-27
43,Of Monsters And Men,2017-10-11 19:39:57,2,44,2017-10-11
44,Of Monsters And Men,2017-10-25 19:39:57,2,45,2017-10-25
45,Of Monsters And Men,2017-11-08 19:39:57,2,46,2017-11-08
46,Of Monsters And Men,2017-11-22 19:39:57,2,47,2017-11-22
47,Of Monsters And Men,2017-12-06 19:39:57,2,48,2017-12-06
48,Of Monsters And Men,2017-12-20 19:39:57,2,49,2017-12-20
49,Of Monsters And Men,2018-01-03 19:39:57,2,50,2018-01-03
50,Of Monsters And Men,2018-01-17 19:39:57,2,51,2018-01-17
51,Of Monsters And Men,2018-01-31 19:39:57,2,52,2018-01-31
52,Of Monsters And Men,2018-02-14 19:39:57,2,53,2018-02-14
53,Of Monsters And Men,2018-02-28 19:39:57,2,54,2018-02-28
54,Of Monsters And Men,2018-03-14 19:39:57,2,55,2018-03-14
55,Of Monsters And Men,2018-03-28 19:39:57,2,56,2018-03-28
56,Of Monsters And Men,2018-04-11 19:39:57,2,57,2018-04-11
57,Of Monsters And Men,2018-04-25 19:39:57,2,58,2018-04-25
58,Of Monsters And Men,2018-05-09 19:39:57,2,59,2018-05-09
59,Of Monsters And Men,2018-05-23 19:39:57,2,60,2018-05-23
60,Of Monsters And Men,2018-06-06 19:39:57,2,61,2018-06-06
61,Of Monsters And Men,2018-06-20 19:39:57,2,62,2018-06-20
62,Of Monsters And Men,2018-07-04 19:39:57,2,63,2018-07-04
63,Of Monsters And Men,2018-07-18 19:39:57,2,64,2018-07-18
64,Of Monsters And Men,2018-08-01 19:39:57,2,65,2018-08-01
65,Of Monsters And Men,2018-08-15 19:39:57,2,66,2018-08-15
66,Of Monsters And Men,2018-08-29 19:39:57,2,67,2018-08-29
67,Of Monsters And Men,2018-09-12 19:39:57,2,68,2018-09-12
68,Of Monsters And Men,2018-09-26 19:39:57,2,69,2018-09-26
69,Of Monsters And Men,2018-10-10 19:39:57,2,70,2018-10-10
70,Of Monsters And Men,2018-10-24 19:39:57,2,71,2018-10-24
71,Of Monsters And Men,2018-11-07 19:39:57,2,72,2018-11-07
72,Of Monsters And Men,2018-11-21 19:39:57,2,73,2018-11-21
73,Of Monsters And Men,2018-12-05 19:39:57,2,74,2018-12-05
74,Of Monsters And Men,2018-12-19 19:39:57,2,75,2018-12-19
75,Of Monsters And Men,2019-01-02 19:39:57,2,76,2019-01-02
76,Of Monsters And Men,2019-01-16 19:39:57,2,77,2019-01-16
77,Of Monsters And Men,2019-01-30 19:39:57,2,78,2019-01-30
78,Of Monsters And Men,2019-02-13 19:39:57,2,79,2019-02-13
79,Of Monsters And Men,2019-02-27 19:39:57,2,80,2019-02-27
80,Of Monsters And Men,2019-03-13 19:39:57,2,81,2019-03-13
81,Of Monsters And Men,2019-03-27 19:39:57,2,82,2019-03-27
82,Of Monsters And Men,2019-04-10 19:39:57,2,83,2019-04-10
83,Of Monsters And Men,2019-04-24 19:39:57,2,84,2019-04-24
84,Of Monsters And Men,2019-05-08 19:39:57,2,85,2019-05-08
85,Of Monsters And Men,2019-05-22 19:39:57,2,86,2019-05-22
86,Of Monsters And Men,2019-06-05 19:39:57,2,87,2019-06-05
87,Of Monsters And Men,2019-06-19 19:39:57,2,88,2019-06-19
88,Of Monsters And Men,2019-07-03 19:39:57,2,89,2019-07-03
89,Of Monsters And Men,2019-07-17 19:39:57,2,90,2019-07-17
90,Of Monsters And Men,2019-07-31 19:39:57,24,91,2019-07-31
91,Of Monsters And Men,2019-08-14 19:39:57,28,92,2019-08-14
92,Of Monsters And Men,2019-08-28 19:39:57,28,93,2019-08-28
93,Of Monsters And Men,2019-09-11 19:39:57,28,94,2019-09-11
94,Of Monsters And Men,2019-09-25 19:39:57,67,95,2019-09-25
95,Of Monsters And Men,2019-10-09 19:39:57,67,96,2019-10-09
96,Of Monsters And Men,2019-10-23 19:39:57,67,97,2019-10-23
97,Of Monsters And Men,2019-11-06 19:39:57,68,98,2019-11-06
98,Of Monsters And Men,2019-11-20 19:39:57,68,99,2019-11-20
99,Of Monsters And Men,2019-12-04 19:39:57,68,100,2019-12-04
100,Of Monsters And Men,2019-12-18 19:39:57,68,101,2019-12-18
101,Of Monsters And Men,2020-01-01 19:39:57,68,102,2020-01-01
102,Of Monsters And Men,2020-01-15 19:39:57,68,103,2020-01-15
103,Of Monsters And Men,2020-01-29 19:39:57,68,104,2020-01-29
104,Of Monsters And Men,2020-02-12 19:39:57,68,105,2020-02-12
105,Of Monsters And Men,2020-02-26 19:39:57,68,106,2020-02-26
106,Of Monsters And Men,2020-03-11 19:39:57,68,107,2020-03-11
107,Of Monsters And Men,2020-03-25 19:39:57,68,108,2020-03-25
108,Of Monsters And Men,2020-04-08 19:39:57,68,109,2020-04-08
109,Counting Crows,2016-02-17 19:39:57,0,1,2016-02-17
110,Counting Crows,2016-03-02 19:39:57,0,2,2016-03-02
111,Counting Crows,2016-03-16 19:39:57,10,3,2016-03-16
112,Counting Crows,2016-03-30 19:39:57,10,4,2016-03-30
113,Counting Crows,2016-04-13 19:39:57,10,5,2016-04-13
114,Counting Crows,2016-04-27 19:39:57,10,6,2016-04-27
115,Counting Crows,2016-05-11 19:39:57,10,7,2016-05-11
116,Counting Crows,2016-05-25 19:39:57,10,8,2016-05-25
117,Counting Crows,2016-06-08 19:39:57,10,9,2016-06-08
118,Counting Crows,2016-06-22 19:39:57,10,10,2016-06-22
119,Counting Crows,2016-07-06 19:39:57,19,11,2016-07-06
120,Counting Crows,2016-07-20 19:39:57,19,12,2016-07-20
121,Counting Crows,2016-08-03 19:39:57,19,13,2016-08-03
122,Counting Crows,2016-08-17 19:39:57,19,14,2016-08-17
123,Counting Crows,2016-08-31 19:39:57,19,15,2016-08-31
124,Counting Crows,2016-09-14 19:39:57,19,16,2016-09-14
125,Counting Crows,2016-09-28 19:39:57,19,17,2016-09-28
126,Counting Crows,2016-10-12 19:39:57,19,18,2016-10-12
127,Counting Crows,2016-10-26 19:39:57,22,19,2016-10-26
128,Counting Crows,2016-11-09 19:39:57,24,20,2016-11-09
129,Counting Crows,2016-11-23 19:39:57,30,21,2016-11-23
130,Counting Crows,2016-12-07 19:39:57,30,22,2016-12-07
131,Counting Crows,2016-12-21 19:39:57,31,23,2016-12-21
132,Counting Crows,2017-01-04 19:39:57,31,24,2017-01-04
133,Counting Crows,2017-01-18 19:39:57,33,25,2017-01-18
134,Counting Crows,2017-02-01 19:39:57,33,26,2017-02-01
135,Counting Crows,2017-02-15 19:39:57,33,27,2017-02-15
136,Counting Crows,2017-03-01 19:39:57,33,28,2017-03-01
137,Counting Crows,2017-03-15 19:39:57,38,29,2017-03-15
138,Counting Crows,2017-03-29 19:39:57,38,30,2017-03-29
139,Counting Crows,2017-04-12 19:39:57,40,31,2017-04-12
140,Counting Crows,2017-04-26 19:39:57,40,32,2017-04-26
141,Counting Crows,2017-05-10 19:39:57,41,33,2017-05-10
142,Counting Crows,2017-05-24 19:39:57,45,34,2017-05-24
143,Counting Crows,2017-06-07 19:39:57,45,35,2017-06-07
144,Counting Crows,2017-06-21 19:39:57,45,36,2017-06-21
145,Counting Crows,2017-07-05 19:39:57,45,37,2017-07-05
146,Counting Crows,2017-07-19 19:39:57,45,38,2017-07-19
147,Counting Crows,2017-08-02 19:39:57,45,39,2017-08-02
148,Counting Crows,2017-08-16 19:39:57,45,40,2017-08-16
149,Counting Crows,2017-08-30 19:39:57,45,41,2017-08-30
150,Counting Crows,2017-09-13 19:39:57,45,42,2017-09-13
151,Counting Crows,2017-09-27 19:39:57,45,43,2017-09-27
152,Counting Crows,2017-10-11 19:39:57,45,44,2017-10-11
153,Counting Crows,2017-10-25 19:39:57,45,45,2017-10-25
154,Counting Crows,2017-11-08 19:39:57,45,46,2017-11-08
155,Counting Crows,2017-11-22 19:39:57,45,47,2017-11-22
156,Counting Crows,2017-12-06 19:39:57,45,48,2017-12-06
157,Counting Crows,2017-12-20 19:39:57,45,49,2017-12-20
158,Counting Crows,2018-01-03 19:39:57,45,50,2018-01-03
159,Counting Crows,2018-01-17 19:39:57,46,51,2018-01-17
160,Counting Crows,2018-01-31 19:39:57,46,52,2018-01-31
161,Counting Crows,2018-02-14 19:39:57,46,53,2018-02-14
162,Counting Crows,2018-02-28 19:39:57,46,54,2018-02-28
163,Counting Crows,2018-03-14 19:39:57,46,55,2018-03-14
164,Counting Crows,2018-03-28 19:39:57,46,56,2018-03-28
165,Counting Crows,2018-04-11 19:39:57,46,57,2018-04-11
166,Counting Crows,2018-04-25 19:39:57,46,58,2018-04-25
167,Counting Crows,2018-05-09 19:39:57,46,59,2018-05-09
168,Counting Crows,2018-05-23 19:39:57,46,60,2018-05-23
169,Counting Crows,2018-06-06 19:39:57,46,61,2018-06-06
170,Counting Crows,2018-06-20 19:39:57,46,62,2018-06-20
171,Counting Crows,2018-07-04 19:39:57,46,63,2018-07-04
172,Counting Crows,2018-07-18 19:39:57,46,64,2018-07-18
173,Counting Crows,2018-08-01 19:39:57,46,65,2018-08-01
174,Counting Crows,2018-08-15 19:39:57,50,66,2018-08-15
175,Counting Crows,2018-08-29 19:39:57,50,67,2018-08-29
176,Counting Crows,2018-09-12 19:39:57,54,68,2018-09-12
177,Counting Crows,2018-09-26 19:39:57,54,69,2018-09-26
178,Counting Crows,2018-10-10 19:39:57,54,70,2018-10-10
179,Counting Crows,2018-10-24 19:39:57,54,71,2018-10-24
180,Counting Crows,2018-11-07 19:39:57,54,72,2018-11-07
181,Counting Crows,2018-11-21 19:39:57,59,73,2018-11-21
182,Counting Crows,2018-12-05 19:39:57,59,74,2018-12-05
183,Counting Crows,2018-12-19 19:39:57,63,75,2018-12-19
184,Counting Crows,2019-01-02 19:39:57,63,76,2019-01-02
185,Counting Crows,2019-01-16 19:39:57,68,77,2019-01-16
186,Counting Crows,2019-01-30 19:39:57,68,78,2019-01-30
