,artist,endTime,sum,week,date
0,Everything Everything,2016-03-23 21:43:35,1,1,2016-03-23
1,Everything Everything,2016-04-06 21:43:35,1,2,2016-04-06
2,Everything Everything,2016-04-20 21:43:35,1,3,2016-04-20
3,Everything Everything,2016-05-04 21:43:35,1,4,2016-05-04
4,Everything Everything,2016-05-18 21:43:35,1,5,2016-05-18
5,Everything Everything,2016-06-01 21:43:35,1,6,2016-06-01
6,Everything Everything,2016-06-15 21:43:35,1,7,2016-06-15
7,Everything Everything,2016-06-29 21:43:35,1,8,2016-06-29
8,Everything Everything,2016-07-13 21:43:35,1,9,2016-07-13
9,Everything Everything,2016-07-27 21:43:35,1,10,2016-07-27
10,Everything Everything,2016-08-10 21:43:35,1,11,2016-08-10
11,Everything Everything,2016-08-24 21:43:35,1,12,2016-08-24
12,Everything Everything,2016-09-07 21:43:35,1,13,2016-09-07
13,Everything Everything,2016-09-21 21:43:35,1,14,2016-09-21
14,Everything Everything,2016-10-05 21:43:35,1,15,2016-10-05
15,Everything Everything,2016-10-19 21:43:35,1,16,2016-10-19
16,Everything Everything,2016-11-02 21:43:35,1,17,2016-11-02
17,Everything Everything,2016-11-16 21:43:35,1,18,2016-11-16
18,Everything Everything,2016-11-30 21:43:35,1,19,2016-11-30
19,Everything Everything,2016-12-14 21:43:35,1,20,2016-12-14
20,Everything Everything,2016-12-28 21:43:35,1,21,2016-12-28
21,Everything Everything,2017-01-11 21:43:35,1,22,2017-01-11
22,Everything Everything,2017-01-25 21:43:35,1,23,2017-01-25
23,Everything Everything,2017-02-08 21:43:35,1,24,2017-02-08
24,Everything Everything,2017-02-22 21:43:35,1,25,2017-02-22
25,Everything Everything,2017-03-08 21:43:35,1,26,2017-03-08
26,Everything Everything,2017-03-22 21:43:35,1,27,2017-03-22
27,Everything Everything,2017-04-05 21:43:35,1,28,2017-04-05
28,Everything Everything,2017-04-19 21:43:35,1,29,2017-04-19
29,Everything Everything,2017-05-03 21:43:35,1,30,2017-05-03
30,Everything Everything,2017-05-17 21:43:35,1,31,2017-05-17
31,Everything Everything,2017-05-31 21:43:35,1,32,2017-05-31
32,Everything Everything,2017-06-14 21:43:35,1,33,2017-06-14
33,Everything Everything,2017-06-28 21:43:35,1,34,2017-06-28
34,Everything Everything,2017-07-12 21:43:35,1,35,2017-07-12
35,Everything Everything,2017-07-26 21:43:35,1,36,2017-07-26
36,Everything Everything,2017-08-09 21:43:35,1,37,2017-08-09
37,Everything Everything,2017-08-23 21:43:35,1,38,2017-08-23
38,Everything Everything,2017-09-06 21:43:35,1,39,2017-09-06
39,Everything Everything,2017-09-20 21:43:35,1,40,2017-09-20
40,Everything Everything,2017-10-04 21:43:35,1,41,2017-10-04
41,Everything Everything,2017-10-18 21:43:35,1,42,2017-10-18
42,Everything Everything,2017-11-01 21:43:35,1,43,2017-11-01
43,Everything Everything,2017-11-15 21:43:35,1,44,2017-11-15
44,Everything Everything,2017-11-29 21:43:35,1,45,2017-11-29
45,Everything Everything,2017-12-13 21:43:35,1,46,2017-12-13
46,Everything Everything,2017-12-27 21:43:35,1,47,2017-12-27
47,Everything Everything,2018-01-10 21:43:35,1,48,2018-01-10
48,Everything Everything,2018-01-24 21:43:35,1,49,2018-01-24
49,Everything Everything,2018-02-07 21:43:35,1,50,2018-02-07
50,Everything Everything,2018-02-21 21:43:35,1,51,2018-02-21
51,Everything Everything,2018-03-07 21:43:35,1,52,2018-03-07
52,Everything Everything,2018-03-21 21:43:35,1,53,2018-03-21
53,Everything Everything,2018-04-04 21:43:35,1,54,2018-04-04
54,Everything Everything,2018-04-18 21:43:35,1,55,2018-04-18
55,Everything Everything,2018-05-02 21:43:35,1,56,2018-05-02
56,Everything Everything,2018-05-16 21:43:35,1,57,2018-05-16
57,Everything Everything,2018-05-30 21:43:35,1,58,2018-05-30
58,Everything Everything,2018-06-13 21:43:35,1,59,2018-06-13
59,Everything Everything,2018-06-27 21:43:35,1,60,2018-06-27
60,Everything Everything,2018-07-11 21:43:35,1,61,2018-07-11
61,Everything Everything,2018-07-25 21:43:35,1,62,2018-07-25
62,Everything Everything,2018-08-08 21:43:35,1,63,2018-08-08
63,Everything Everything,2018-08-22 21:43:35,1,64,2018-08-22
64,Everything Everything,2018-09-05 21:43:35,1,65,2018-09-05
65,Everything Everything,2018-09-19 21:43:35,1,66,2018-09-19
66,Everything Everything,2018-10-03 21:43:35,1,67,2018-10-03
67,Everything Everything,2018-10-17 21:43:35,1,68,2018-10-17
68,Everything Everything,2018-10-31 21:43:35,1,69,2018-10-31
69,Everything Everything,2018-11-14 21:43:35,1,70,2018-11-14
70,Everything Everything,2018-11-28 21:43:35,1,71,2018-11-28
71,Everything Everything,2018-12-12 21:43:35,1,72,2018-12-12
72,Everything Everything,2018-12-26 21:43:35,1,73,2018-12-26
73,Everything Everything,2019-01-09 21:43:35,1,74,2019-01-09
74,Everything Everything,2019-01-23 21:43:35,1,75,2019-01-23
75,Everything Everything,2019-02-06 21:43:35,1,76,2019-02-06
76,Everything Everything,2019-02-20 21:43:35,1,77,2019-02-20
77,Everything Everything,2019-03-06 21:43:35,1,78,2019-03-06
78,Everything Everything,2019-03-20 21:43:35,1,79,2019-03-20
79,Everything Everything,2019-04-03 21:43:35,1,80,2019-04-03
80,Everything Everything,2019-04-17 21:43:35,1,81,2019-04-17
81,Everything Everything,2019-05-01 21:43:35,1,82,2019-05-01
82,Everything Everything,2019-05-15 21:43:35,1,83,2019-05-15
83,Everything Everything,2019-05-29 21:43:35,1,84,2019-05-29
84,Everything Everything,2019-06-12 21:43:35,1,85,2019-06-12
85,Everything Everything,2019-06-26 21:43:35,1,86,2019-06-26
86,Everything Everything,2019-07-10 21:43:35,1,87,2019-07-10
87,Everything Everything,2019-07-24 21:43:35,1,88,2019-07-24
88,Everything Everything,2019-08-07 21:43:35,1,89,2019-08-07
89,Everything Everything,2019-08-21 21:43:35,1,90,2019-08-21
90,Everything Everything,2019-09-04 21:43:35,1,91,2019-09-04
91,Everything Everything,2019-09-18 21:43:35,1,92,2019-09-18
92,Everything Everything,2019-10-02 21:43:35,1,93,2019-10-02
93,Everything Everything,2019-10-16 21:43:35,1,94,2019-10-16
94,Everything Everything,2019-10-30 21:43:35,1,95,2019-10-30
95,Everything Everything,2019-11-13 21:43:35,1,96,2019-11-13
96,Everything Everything,2019-11-27 21:43:35,1,97,2019-11-27
97,Everything Everything,2019-12-11 21:43:35,1,98,2019-12-11
98,Everything Everything,2019-12-25 21:43:35,1,99,2019-12-25
99,Everything Everything,2020-01-08 21:43:35,1,100,2020-01-08
100,Everything Everything,2020-01-22 21:43:35,1,101,2020-01-22
101,Everything Everything,2020-02-05 21:43:35,1,102,2020-02-05
102,Everything Everything,2020-02-19 21:43:35,1,103,2020-02-19
103,Everything Everything,2020-03-04 21:43:35,1,104,2020-03-04
104,Everything Everything,2020-03-18 21:43:35,1,105,2020-03-18
105,Everything Everything,2020-04-01 21:43:35,1,106,2020-04-01
106,Everything Everything,2020-04-15 21:43:35,1,107,2020-04-15
107,Destroyer,2016-03-23 21:43:35,0,1,2016-03-23
108,Destroyer,2016-04-06 21:43:35,0,2,2016-04-06
109,Destroyer,2016-04-20 21:43:35,0,3,2016-04-20
110,Destroyer,2016-05-04 21:43:35,0,4,2016-05-04
111,Destroyer,2016-05-18 21:43:35,0,5,2016-05-18
112,Destroyer,2016-06-01 21:43:35,2,6,2016-06-01
