,artist,endTime,sum,week,date
0,Destroyer,2016-06-11 15:41:00,2,1,2016-06-11
1,Destroyer,2016-06-25 15:41:00,2,2,2016-06-25
2,Destroyer,2016-07-09 15:41:00,2,3,2016-07-09
3,Destroyer,2016-07-23 15:41:00,2,4,2016-07-23
4,Destroyer,2016-08-06 15:41:00,2,5,2016-08-06
5,Destroyer,2016-08-20 15:41:00,2,6,2016-08-20
6,Destroyer,2016-09-03 15:41:00,2,7,2016-09-03
7,Destroyer,2016-09-17 15:41:00,2,8,2016-09-17
8,Destroyer,2016-10-01 15:41:00,2,9,2016-10-01
9,Destroyer,2016-10-15 15:41:00,2,10,2016-10-15
10,Destroyer,2016-10-29 15:41:00,2,11,2016-10-29
11,Destroyer,2016-11-12 15:41:00,2,12,2016-11-12
12,Destroyer,2016-11-26 15:41:00,2,13,2016-11-26
13,Destroyer,2016-12-10 15:41:00,2,14,2016-12-10
14,Destroyer,2016-12-24 15:41:00,2,15,2016-12-24
15,Destroyer,2017-01-07 15:41:00,2,16,2017-01-07
16,Destroyer,2017-01-21 15:41:00,2,17,2017-01-21
17,Destroyer,2017-02-04 15:41:00,2,18,2017-02-04
18,Destroyer,2017-02-18 15:41:00,2,19,2017-02-18
19,Destroyer,2017-03-04 15:41:00,2,20,2017-03-04
20,Destroyer,2017-03-18 15:41:00,2,21,2017-03-18
21,Destroyer,2017-04-01 15:41:00,2,22,2017-04-01
22,Destroyer,2017-04-15 15:41:00,2,23,2017-04-15
23,Destroyer,2017-04-29 15:41:00,2,24,2017-04-29
24,Destroyer,2017-05-13 15:41:00,2,25,2017-05-13
25,Destroyer,2017-05-27 15:41:00,2,26,2017-05-27
26,Destroyer,2017-06-10 15:41:00,2,27,2017-06-10
27,Destroyer,2017-06-24 15:41:00,2,28,2017-06-24
28,Destroyer,2017-07-08 15:41:00,2,29,2017-07-08
29,Destroyer,2017-07-22 15:41:00,2,30,2017-07-22
30,Destroyer,2017-08-05 15:41:00,2,31,2017-08-05
31,Destroyer,2017-08-19 15:41:00,2,32,2017-08-19
32,Destroyer,2017-09-02 15:41:00,2,33,2017-09-02
