,artist,endTime,sum,week,date
0,Louis Armstrong,2016-03-25 23:31:23,1,1,2016-03-25
1,Louis Armstrong,2016-04-08 23:31:23,1,2,2016-04-08
2,Louis Armstrong,2016-04-22 23:31:23,1,3,2016-04-22
3,Louis Armstrong,2016-05-06 23:31:23,1,4,2016-05-06
4,Louis Armstrong,2016-05-20 23:31:23,1,5,2016-05-20
5,Louis Armstrong,2016-06-03 23:31:23,1,6,2016-06-03
6,Louis Armstrong,2016-06-17 23:31:23,1,7,2016-06-17
7,Louis Armstrong,2016-07-01 23:31:23,1,8,2016-07-01
8,Louis Armstrong,2016-07-15 23:31:23,1,9,2016-07-15
9,Louis Armstrong,2016-07-29 23:31:23,1,10,2016-07-29
10,Louis Armstrong,2016-08-12 23:31:23,1,11,2016-08-12
11,Louis Armstrong,2016-08-26 23:31:23,1,12,2016-08-26
12,Louis Armstrong,2016-09-09 23:31:23,1,13,2016-09-09
13,Louis Armstrong,2016-09-23 23:31:23,1,14,2016-09-23
14,Louis Armstrong,2016-10-07 23:31:23,1,15,2016-10-07
15,Louis Armstrong,2016-10-21 23:31:23,20,16,2016-10-21
16,Louis Armstrong,2016-11-04 23:31:23,38,17,2016-11-04
17,Louis Armstrong,2016-11-18 23:31:23,44,18,2016-11-18
18,Louis Armstrong,2016-12-02 23:31:23,44,19,2016-12-02
19,Louis Armstrong,2016-12-16 23:31:23,44,20,2016-12-16
20,Louis Armstrong,2016-12-30 23:31:23,44,21,2016-12-30
21,Louis Armstrong,2017-01-13 23:31:23,44,22,2017-01-13
22,Louis Armstrong,2017-01-27 23:31:23,44,23,2017-01-27
23,Louis Armstrong,2017-02-10 23:31:23,44,24,2017-02-10
24,Louis Armstrong,2017-02-24 23:31:23,46,25,2017-02-24
25,Louis Armstrong,2017-03-10 23:31:23,46,26,2017-03-10
26,Louis Armstrong,2017-03-24 23:31:23,46,27,2017-03-24
27,Louis Armstrong,2017-04-07 23:31:23,46,28,2017-04-07
28,Louis Armstrong,2017-04-21 23:31:23,46,29,2017-04-21
29,Louis Armstrong,2017-05-05 23:31:23,46,30,2017-05-05
30,Louis Armstrong,2017-05-19 23:31:23,46,31,2017-05-19
31,Louis Armstrong,2017-06-02 23:31:23,46,32,2017-06-02
32,Louis Armstrong,2017-06-16 23:31:23,46,33,2017-06-16
33,Louis Armstrong,2017-06-30 23:31:23,46,34,2017-06-30
34,Louis Armstrong,2017-07-14 23:31:23,46,35,2017-07-14
35,Louis Armstrong,2017-07-28 23:31:23,46,36,2017-07-28
36,Louis Armstrong,2017-08-11 23:31:23,46,37,2017-08-11
37,Louis Armstrong,2017-08-25 23:31:23,46,38,2017-08-25
38,Louis Armstrong,2017-09-08 23:31:23,46,39,2017-09-08
39,Louis Armstrong,2017-09-22 23:31:23,46,40,2017-09-22
40,Louis Armstrong,2017-10-06 23:31:23,46,41,2017-10-06
41,Louis Armstrong,2017-10-20 23:31:23,46,42,2017-10-20
42,Louis Armstrong,2017-11-03 23:31:23,46,43,2017-11-03
43,Louis Armstrong,2017-11-17 23:31:23,46,44,2017-11-17
44,Louis Armstrong,2017-12-01 23:31:23,48,45,2017-12-01
45,Louis Armstrong,2017-12-15 23:31:23,48,46,2017-12-15
46,Louis Armstrong,2017-12-29 23:31:23,49,47,2017-12-29
47,Louis Armstrong,2018-01-12 23:31:23,49,48,2018-01-12
48,Louis Armstrong,2018-01-26 23:31:23,49,49,2018-01-26
49,Louis Armstrong,2018-02-09 23:31:23,49,50,2018-02-09
50,Louis Armstrong,2018-02-23 23:31:23,49,51,2018-02-23
51,Louis Armstrong,2018-03-09 23:31:23,49,52,2018-03-09
52,Louis Armstrong,2018-03-23 23:31:23,49,53,2018-03-23
53,Louis Armstrong,2018-04-06 23:31:23,50,54,2018-04-06
54,Louis Armstrong,2018-04-20 23:31:23,50,55,2018-04-20
55,Louis Armstrong,2018-05-04 23:31:23,50,56,2018-05-04
56,Louis Armstrong,2018-05-18 23:31:23,50,57,2018-05-18
57,Louis Armstrong,2018-06-01 23:31:23,51,58,2018-06-01
58,Louis Armstrong,2018-06-15 23:31:23,51,59,2018-06-15
59,Louis Armstrong,2018-06-29 23:31:23,51,60,2018-06-29
