,artist,endTime,sum,week,date
0,John Mellencamp,2016-06-11 15:41:00,1,1,2016-06-11
1,John Mellencamp,2016-06-25 15:41:00,1,2,2016-06-25
2,John Mellencamp,2016-07-09 15:41:00,1,3,2016-07-09
3,John Mellencamp,2016-07-23 15:41:00,1,4,2016-07-23
4,John Mellencamp,2016-08-06 15:41:00,1,5,2016-08-06
5,John Mellencamp,2016-08-20 15:41:00,1,6,2016-08-20
6,John Mellencamp,2016-09-03 15:41:00,1,7,2016-09-03
7,John Mellencamp,2016-09-17 15:41:00,1,8,2016-09-17
8,John Mellencamp,2016-10-01 15:41:00,1,9,2016-10-01
9,John Mellencamp,2016-10-15 15:41:00,1,10,2016-10-15
10,John Mellencamp,2016-10-29 15:41:00,1,11,2016-10-29
11,John Mellencamp,2016-11-12 15:41:00,1,12,2016-11-12
12,John Mellencamp,2016-11-26 15:41:00,1,13,2016-11-26
13,John Mellencamp,2016-12-10 15:41:00,1,14,2016-12-10
14,John Mellencamp,2016-12-24 15:41:00,1,15,2016-12-24
15,John Mellencamp,2017-01-07 15:41:00,1,16,2017-01-07
16,John Mellencamp,2017-01-21 15:41:00,1,17,2017-01-21
17,John Mellencamp,2017-02-04 15:41:00,1,18,2017-02-04
18,John Mellencamp,2017-02-18 15:41:00,1,19,2017-02-18
19,John Mellencamp,2017-03-04 15:41:00,1,20,2017-03-04
20,John Mellencamp,2017-03-18 15:41:00,1,21,2017-03-18
21,John Mellencamp,2017-04-01 15:41:00,1,22,2017-04-01
22,John Mellencamp,2017-04-15 15:41:00,1,23,2017-04-15
23,John Mellencamp,2017-04-29 15:41:00,1,24,2017-04-29
24,John Mellencamp,2017-05-13 15:41:00,1,25,2017-05-13
25,John Mellencamp,2017-05-27 15:41:00,1,26,2017-05-27
26,John Mellencamp,2017-06-10 15:41:00,1,27,2017-06-10
27,John Mellencamp,2017-06-24 15:41:00,1,28,2017-06-24
28,John Mellencamp,2017-07-08 15:41:00,1,29,2017-07-08
29,John Mellencamp,2017-07-22 15:41:00,1,30,2017-07-22
30,John Mellencamp,2017-08-05 15:41:00,1,31,2017-08-05
31,John Mellencamp,2017-08-19 15:41:00,1,32,2017-08-19
32,John Mellencamp,2017-09-02 15:41:00,1,33,2017-09-02
33,John Mellencamp,2017-09-16 15:41:00,1,34,2017-09-16
34,John Mellencamp,2017-09-30 15:41:00,1,35,2017-09-30
35,John Mellencamp,2017-10-14 15:41:00,1,36,2017-10-14
36,John Mellencamp,2017-10-28 15:41:00,1,37,2017-10-28
37,John Mellencamp,2017-11-11 15:41:00,1,38,2017-11-11
38,John Mellencamp,2017-11-25 15:41:00,1,39,2017-11-25
39,John Mellencamp,2017-12-09 15:41:00,1,40,2017-12-09
40,John Mellencamp,2017-12-23 15:41:00,1,41,2017-12-23
41,John Mellencamp,2018-01-06 15:41:00,1,42,2018-01-06
42,John Mellencamp,2018-01-20 15:41:00,1,43,2018-01-20
43,John Mellencamp,2018-02-03 15:41:00,1,44,2018-02-03
44,John Mellencamp,2018-02-17 15:41:00,1,45,2018-02-17
45,John Mellencamp,2018-03-03 15:41:00,1,46,2018-03-03
46,John Mellencamp,2018-03-17 15:41:00,1,47,2018-03-17
47,John Mellencamp,2018-03-31 15:41:00,1,48,2018-03-31
48,John Mellencamp,2018-04-14 15:41:00,2,49,2018-04-14
49,John Mellencamp,2018-04-28 15:41:00,2,50,2018-04-28
50,John Mellencamp,2018-05-12 15:41:00,2,51,2018-05-12
51,John Mellencamp,2018-05-26 15:41:00,2,52,2018-05-26
52,John Mellencamp,2018-06-09 15:41:00,2,53,2018-06-09
53,John Mellencamp,2018-06-23 15:41:00,2,54,2018-06-23
54,John Mellencamp,2018-07-07 15:41:00,2,55,2018-07-07
55,John Mellencamp,2018-07-21 15:41:00,2,56,2018-07-21
56,John Mellencamp,2018-08-04 15:41:00,2,57,2018-08-04
57,John Mellencamp,2018-08-18 15:41:00,2,58,2018-08-18
58,John Mellencamp,2018-09-01 15:41:00,3,59,2018-09-01
59,John Mellencamp,2018-09-15 15:41:00,3,60,2018-09-15
60,John Mellencamp,2018-09-29 15:41:00,3,61,2018-09-29
61,John Mellencamp,2018-10-13 15:41:00,3,62,2018-10-13
62,John Mellencamp,2018-10-27 15:41:00,3,63,2018-10-27
63,John Mellencamp,2018-11-10 15:41:00,3,64,2018-11-10
64,John Mellencamp,2018-11-24 15:41:00,3,65,2018-11-24
65,John Mellencamp,2018-12-08 15:41:00,3,66,2018-12-08
66,John Mellencamp,2018-12-22 15:41:00,3,67,2018-12-22
67,John Mellencamp,2019-01-05 15:41:00,3,68,2019-01-05
68,John Mellencamp,2019-01-19 15:41:00,3,69,2019-01-19
69,John Mellencamp,2019-02-02 15:41:00,3,70,2019-02-02
70,John Mellencamp,2019-02-16 15:41:00,3,71,2019-02-16
71,John Mellencamp,2019-03-02 15:41:00,3,72,2019-03-02
72,John Mellencamp,2019-03-16 15:41:00,3,73,2019-03-16
73,John Mellencamp,2019-03-30 15:41:00,3,74,2019-03-30
74,John Mellencamp,2019-04-13 15:41:00,3,75,2019-04-13
75,John Mellencamp,2019-04-27 15:41:00,3,76,2019-04-27
76,John Mellencamp,2019-05-11 15:41:00,3,77,2019-05-11
77,John Mellencamp,2019-05-25 15:41:00,3,78,2019-05-25
78,John Mellencamp,2019-06-08 15:41:00,3,79,2019-06-08
79,John Mellencamp,2019-06-22 15:41:00,3,80,2019-06-22
80,John Mellencamp,2019-07-06 15:41:00,3,81,2019-07-06
81,John Mellencamp,2019-07-20 15:41:00,3,82,2019-07-20
82,John Mellencamp,2019-08-03 15:41:00,3,83,2019-08-03
83,John Mellencamp,2019-08-17 15:41:00,3,84,2019-08-17
84,John Mellencamp,2019-08-31 15:41:00,3,85,2019-08-31
85,John Mellencamp,2019-09-14 15:41:00,3,86,2019-09-14
86,John Mellencamp,2019-09-28 15:41:00,3,87,2019-09-28
87,John Mellencamp,2019-10-12 15:41:00,3,88,2019-10-12
88,John Mellencamp,2019-10-26 15:41:00,3,89,2019-10-26
89,John Mellencamp,2019-11-09 15:41:00,3,90,2019-11-09
90,John Mellencamp,2019-11-23 15:41:00,3,91,2019-11-23
91,John Mellencamp,2019-12-07 15:41:00,3,92,2019-12-07
92,John Mellencamp,2019-12-21 15:41:00,3,93,2019-12-21
93,John Mellencamp,2020-01-04 15:41:00,3,94,2020-01-04
94,John Mellencamp,2020-01-18 15:41:00,3,95,2020-01-18
95,John Mellencamp,2020-02-01 15:41:00,3,96,2020-02-01
96,John Mellencamp,2020-02-15 15:41:00,3,97,2020-02-15
97,John Mellencamp,2020-02-29 15:41:00,3,98,2020-02-29
98,John Mellencamp,2020-03-14 15:41:00,3,99,2020-03-14
99,John Mellencamp,2020-03-28 15:41:00,3,100,2020-03-28
100,John Mellencamp,2020-04-11 15:41:00,3,101,2020-04-11
101,Steely Dan,2016-06-11 15:41:00,2,1,2016-06-11
102,Steely Dan,2016-06-25 15:41:00,2,2,2016-06-25
103,Steely Dan,2016-07-09 15:41:00,3,3,2016-07-09
104,Steely Dan,2016-07-23 15:41:00,3,4,2016-07-23
105,Steely Dan,2016-08-06 15:41:00,3,5,2016-08-06
106,Steely Dan,2016-08-20 15:41:00,3,6,2016-08-20
107,Steely Dan,2016-09-03 15:41:00,3,7,2016-09-03
108,Steely Dan,2016-09-17 15:41:00,3,8,2016-09-17
109,Steely Dan,2016-10-01 15:41:00,3,9,2016-10-01
110,Steely Dan,2016-10-15 15:41:00,3,10,2016-10-15
111,Steely Dan,2016-10-29 15:41:00,3,11,2016-10-29
112,Steely Dan,2016-11-12 15:41:00,3,12,2016-11-12
113,Steely Dan,2016-11-26 15:41:00,3,13,2016-11-26
114,Steely Dan,2016-12-10 15:41:00,3,14,2016-12-10
115,Steely Dan,2016-12-24 15:41:00,3,15,2016-12-24
116,Steely Dan,2017-01-07 15:41:00,3,16,2017-01-07
117,Steely Dan,2017-01-21 15:41:00,3,17,2017-01-21
118,Steely Dan,2017-02-04 15:41:00,3,18,2017-02-04
119,Steely Dan,2017-02-18 15:41:00,3,19,2017-02-18
120,Steely Dan,2017-03-04 15:41:00,3,20,2017-03-04
121,Steely Dan,2017-03-18 15:41:00,3,21,2017-03-18
122,Steely Dan,2017-04-01 15:41:00,3,22,2017-04-01
123,Steely Dan,2017-04-15 15:41:00,3,23,2017-04-15
124,Steely Dan,2017-04-29 15:41:00,3,24,2017-04-29
125,Steely Dan,2017-05-13 15:41:00,3,25,2017-05-13
126,Steely Dan,2017-05-27 15:41:00,3,26,2017-05-27
127,Steely Dan,2017-06-10 15:41:00,3,27,2017-06-10
128,Steely Dan,2017-06-24 15:41:00,3,28,2017-06-24
129,Steely Dan,2017-07-08 15:41:00,3,29,2017-07-08
130,Steely Dan,2017-07-22 15:41:00,3,30,2017-07-22
131,Steely Dan,2017-08-05 15:41:00,3,31,2017-08-05
132,Steely Dan,2017-08-19 15:41:00,3,32,2017-08-19
133,Steely Dan,2017-09-02 15:41:00,3,33,2017-09-02
134,Steely Dan,2017-09-16 15:41:00,3,34,2017-09-16
135,Steely Dan,2017-09-30 15:41:00,3,35,2017-09-30
136,Steely Dan,2017-10-14 15:41:00,3,36,2017-10-14
137,Steely Dan,2017-10-28 15:41:00,3,37,2017-10-28
138,Steely Dan,2017-11-11 15:41:00,3,38,2017-11-11
139,Steely Dan,2017-11-25 15:41:00,3,39,2017-11-25
140,Steely Dan,2017-12-09 15:41:00,3,40,2017-12-09
141,Steely Dan,2017-12-23 15:41:00,3,41,2017-12-23
142,Steely Dan,2018-01-06 15:41:00,3,42,2018-01-06
143,Steely Dan,2018-01-20 15:41:00,3,43,2018-01-20
144,Steely Dan,2018-02-03 15:41:00,4,44,2018-02-03
145,Steely Dan,2018-02-17 15:41:00,4,45,2018-02-17
146,Steely Dan,2018-03-03 15:41:00,4,46,2018-03-03
147,Steely Dan,2018-03-17 15:41:00,4,47,2018-03-17
148,Steely Dan,2018-03-31 15:41:00,15,48,2018-03-31
149,Steely Dan,2018-04-14 15:41:00,15,49,2018-04-14
150,Steely Dan,2018-04-28 15:41:00,15,50,2018-04-28
151,Steely Dan,2018-05-12 15:41:00,15,51,2018-05-12
152,Steely Dan,2018-05-26 15:41:00,15,52,2018-05-26
153,Steely Dan,2018-06-09 15:41:00,15,53,2018-06-09
154,Steely Dan,2018-06-23 15:41:00,15,54,2018-06-23
155,Steely Dan,2018-07-07 15:41:00,16,55,2018-07-07
156,Steely Dan,2018-07-21 15:41:00,16,56,2018-07-21
157,Steely Dan,2018-08-04 15:41:00,16,57,2018-08-04
158,Steely Dan,2018-08-18 15:41:00,16,58,2018-08-18
159,Steely Dan,2018-09-01 15:41:00,16,59,2018-09-01
160,Steely Dan,2018-09-15 15:41:00,16,60,2018-09-15
161,Steely Dan,2018-09-29 15:41:00,16,61,2018-09-29
162,Steely Dan,2018-10-13 15:41:00,16,62,2018-10-13
163,Steely Dan,2018-10-27 15:41:00,16,63,2018-10-27
164,Steely Dan,2018-11-10 15:41:00,16,64,2018-11-10
165,Steely Dan,2018-11-24 15:41:00,16,65,2018-11-24
166,Steely Dan,2018-12-08 15:41:00,16,66,2018-12-08
167,Steely Dan,2018-12-22 15:41:00,17,67,2018-12-22
