,artist,endTime,sum,week,date
0,Matoma,2016-09-15 20:22:59,7,1,2016-09-15
1,Matoma,2016-09-29 20:22:59,7,2,2016-09-29
2,Matoma,2016-10-13 20:22:59,7,3,2016-10-13
3,Matoma,2016-10-27 20:22:59,7,4,2016-10-27
4,Matoma,2016-11-10 20:22:59,7,5,2016-11-10
5,Matoma,2016-11-24 20:22:59,7,6,2016-11-24
6,Matoma,2016-12-08 20:22:59,7,7,2016-12-08
7,Matoma,2016-12-22 20:22:59,7,8,2016-12-22
8,Matoma,2017-01-05 20:22:59,7,9,2017-01-05
9,Matoma,2017-01-19 20:22:59,7,10,2017-01-19
10,Matoma,2017-02-02 20:22:59,7,11,2017-02-02
11,Matoma,2017-02-16 20:22:59,7,12,2017-02-16
12,Matoma,2017-03-02 20:22:59,7,13,2017-03-02
13,Matoma,2017-03-16 20:22:59,7,14,2017-03-16
14,Matoma,2017-03-30 20:22:59,7,15,2017-03-30
15,Matoma,2017-04-13 20:22:59,7,16,2017-04-13
16,Matoma,2017-04-27 20:22:59,7,17,2017-04-27
17,Matoma,2017-05-11 20:22:59,7,18,2017-05-11
18,Matoma,2017-05-25 20:22:59,7,19,2017-05-25
19,Matoma,2017-06-08 20:22:59,7,20,2017-06-08
20,Matoma,2017-06-22 20:22:59,7,21,2017-06-22
21,Matoma,2017-07-06 20:22:59,7,22,2017-07-06
22,Matoma,2017-07-20 20:22:59,7,23,2017-07-20
23,Matoma,2017-08-03 20:22:59,7,24,2017-08-03
24,Matoma,2017-08-17 20:22:59,7,25,2017-08-17
25,Matoma,2017-08-31 20:22:59,7,26,2017-08-31
26,Matoma,2017-09-14 20:22:59,7,27,2017-09-14
27,Matoma,2017-09-28 20:22:59,7,28,2017-09-28
28,Matoma,2017-10-12 20:22:59,7,29,2017-10-12
29,Matoma,2017-10-26 20:22:59,7,30,2017-10-26
30,Matoma,2017-11-09 20:22:59,7,31,2017-11-09
31,Matoma,2017-11-23 20:22:59,7,32,2017-11-23
32,Matoma,2017-12-07 20:22:59,7,33,2017-12-07
33,Matoma,2017-12-21 20:22:59,7,34,2017-12-21
34,Matoma,2018-01-04 20:22:59,7,35,2018-01-04
35,Matoma,2018-01-18 20:22:59,7,36,2018-01-18
36,Matoma,2018-02-01 20:22:59,7,37,2018-02-01
37,Matoma,2018-02-15 20:22:59,8,38,2018-02-15
38,Matoma,2018-03-01 20:22:59,8,39,2018-03-01
39,Matoma,2018-03-15 20:22:59,8,40,2018-03-15
40,Matoma,2018-03-29 20:22:59,8,41,2018-03-29
41,Matoma,2018-04-12 20:22:59,8,42,2018-04-12
42,Matoma,2018-04-26 20:22:59,8,43,2018-04-26
43,Matoma,2018-05-10 20:22:59,8,44,2018-05-10
44,Matoma,2018-05-24 20:22:59,8,45,2018-05-24
45,Matoma,2018-06-07 20:22:59,8,46,2018-06-07
46,Matoma,2018-06-21 20:22:59,8,47,2018-06-21
47,Matoma,2018-07-05 20:22:59,8,48,2018-07-05
