,artist,endTime,sum,week,date
0,Ray Charles,2016-07-30 09:47:07,32,1,2016-07-30
1,Ray Charles,2016-08-13 09:47:07,32,2,2016-08-13
2,Ray Charles,2016-08-27 09:47:07,37,3,2016-08-27
3,Ray Charles,2016-09-10 09:47:07,37,4,2016-09-10
4,Ray Charles,2016-09-24 09:47:07,37,5,2016-09-24
5,Ray Charles,2016-10-08 09:47:07,37,6,2016-10-08
6,Ray Charles,2016-10-22 09:47:07,37,7,2016-10-22
7,Ray Charles,2016-11-05 09:47:07,37,8,2016-11-05
8,Ray Charles,2016-11-19 09:47:07,37,9,2016-11-19
9,Ray Charles,2016-12-03 09:47:07,37,10,2016-12-03
10,Ray Charles,2016-12-17 09:47:07,65,11,2016-12-17
11,Ray Charles,2016-12-31 09:47:07,66,12,2016-12-31
12,Ray Charles,2017-01-14 09:47:07,69,13,2017-01-14
13,Ray Charles,2017-01-28 09:47:07,69,14,2017-01-28
14,Ray Charles,2017-02-11 09:47:07,70,15,2017-02-11
15,Ray Charles,2017-02-25 09:47:07,83,16,2017-02-25
16,Ray Charles,2017-03-11 09:47:07,83,17,2017-03-11
17,Ray Charles,2017-03-25 09:47:07,87,18,2017-03-25
18,Ray Charles,2017-04-08 09:47:07,87,19,2017-04-08
19,Ray Charles,2017-04-22 09:47:07,101,20,2017-04-22
20,Ray Charles,2017-05-06 09:47:07,101,21,2017-05-06
21,Ray Charles,2017-05-20 09:47:07,108,22,2017-05-20
22,Ray Charles,2017-06-03 09:47:07,108,23,2017-06-03
23,Ray Charles,2017-06-17 09:47:07,108,24,2017-06-17
24,Ray Charles,2017-07-01 09:47:07,108,25,2017-07-01
25,Ray Charles,2017-07-15 09:47:07,108,26,2017-07-15
26,Ray Charles,2017-07-29 09:47:07,108,27,2017-07-29
27,Ray Charles,2017-08-12 09:47:07,108,28,2017-08-12
28,Ray Charles,2017-08-26 09:47:07,108,29,2017-08-26
29,Ray Charles,2017-09-09 09:47:07,108,30,2017-09-09
30,Ray Charles,2017-09-23 09:47:07,108,31,2017-09-23
31,Ray Charles,2017-10-07 09:47:07,108,32,2017-10-07
32,Ray Charles,2017-10-21 09:47:07,108,33,2017-10-21
33,Ray Charles,2017-11-04 09:47:07,108,34,2017-11-04
34,Ray Charles,2017-11-18 09:47:07,108,35,2017-11-18
35,Ray Charles,2017-12-02 09:47:07,108,36,2017-12-02
36,Ray Charles,2017-12-16 09:47:07,108,37,2017-12-16
37,Ray Charles,2017-12-30 09:47:07,108,38,2017-12-30
38,Ray Charles,2018-01-13 09:47:07,108,39,2018-01-13
39,Ray Charles,2018-01-27 09:47:07,108,40,2018-01-27
40,Ray Charles,2018-02-10 09:47:07,108,41,2018-02-10
41,Ray Charles,2018-02-24 09:47:07,108,42,2018-02-24
42,Ray Charles,2018-03-10 09:47:07,114,43,2018-03-10
43,Ray Charles,2018-03-24 09:47:07,114,44,2018-03-24
44,Ray Charles,2018-04-07 09:47:07,114,45,2018-04-07
45,Ray Charles,2018-04-21 09:47:07,114,46,2018-04-21
46,Ray Charles,2018-05-05 09:47:07,114,47,2018-05-05
47,Ray Charles,2018-05-19 09:47:07,114,48,2018-05-19
48,Ray Charles,2018-06-02 09:47:07,114,49,2018-06-02
49,Ray Charles,2018-06-16 09:47:07,114,50,2018-06-16
50,Ray Charles,2018-06-30 09:47:07,114,51,2018-06-30
51,Ray Charles,2018-07-14 09:47:07,114,52,2018-07-14
52,Ray Charles,2018-07-28 09:47:07,114,53,2018-07-28
53,Ray Charles,2018-08-11 09:47:07,114,54,2018-08-11
54,Ray Charles,2018-08-25 09:47:07,114,55,2018-08-25
55,Ray Charles,2018-09-08 09:47:07,114,56,2018-09-08
56,Ray Charles,2018-09-22 09:47:07,114,57,2018-09-22
57,Ray Charles,2018-10-06 09:47:07,114,58,2018-10-06
58,Ray Charles,2018-10-20 09:47:07,114,59,2018-10-20
59,Ray Charles,2018-11-03 09:47:07,114,60,2018-11-03
60,Ray Charles,2018-11-17 09:47:07,114,61,2018-11-17
61,Ray Charles,2018-12-01 09:47:07,114,62,2018-12-01
62,Ray Charles,2018-12-15 09:47:07,114,63,2018-12-15
63,Ray Charles,2018-12-29 09:47:07,114,64,2018-12-29
64,Ray Charles,2019-01-12 09:47:07,114,65,2019-01-12
65,Ray Charles,2019-01-26 09:47:07,114,66,2019-01-26
66,Ray Charles,2019-02-09 09:47:07,114,67,2019-02-09
67,Ray Charles,2019-02-23 09:47:07,114,68,2019-02-23
68,Ray Charles,2019-03-09 09:47:07,114,69,2019-03-09
69,Ray Charles,2019-03-23 09:47:07,114,70,2019-03-23
70,Ray Charles,2019-04-06 09:47:07,114,71,2019-04-06
71,Ray Charles,2019-04-20 09:47:07,114,72,2019-04-20
72,Ray Charles,2019-05-04 09:47:07,115,73,2019-05-04
73,Ray Charles,2019-05-18 09:47:07,115,74,2019-05-18
74,Ray Charles,2019-06-01 09:47:07,115,75,2019-06-01
75,Ray Charles,2019-06-15 09:47:07,115,76,2019-06-15
76,Ray Charles,2019-06-29 09:47:07,116,77,2019-06-29
77,Ray Charles,2019-07-13 09:47:07,116,78,2019-07-13
78,Ray Charles,2019-07-27 09:47:07,116,79,2019-07-27
79,Ray Charles,2019-08-10 09:47:07,116,80,2019-08-10
80,Ray Charles,2019-08-24 09:47:07,116,81,2019-08-24
81,Ray Charles,2019-09-07 09:47:07,116,82,2019-09-07
82,Ray Charles,2019-09-21 09:47:07,116,83,2019-09-21
83,Ray Charles,2019-10-05 09:47:07,116,84,2019-10-05
84,Ray Charles,2019-10-19 09:47:07,116,85,2019-10-19
85,Ray Charles,2019-11-02 09:47:07,116,86,2019-11-02
86,Ray Charles,2019-11-16 09:47:07,116,87,2019-11-16
87,Ray Charles,2019-11-30 09:47:07,116,88,2019-11-30
88,Ray Charles,2019-12-14 09:47:07,116,89,2019-12-14
89,Ray Charles,2019-12-28 09:47:07,116,90,2019-12-28
90,Ray Charles,2020-01-11 09:47:07,116,91,2020-01-11
91,Otis Spann,2016-07-30 09:47:07,0,1,2016-07-30
92,Otis Spann,2016-08-13 09:47:07,0,2,2016-08-13
93,Otis Spann,2016-08-27 09:47:07,2,3,2016-08-27
94,Otis Spann,2016-09-10 09:47:07,2,4,2016-09-10
95,Otis Spann,2016-09-24 09:47:07,2,5,2016-09-24
96,Otis Spann,2016-10-08 09:47:07,2,6,2016-10-08
97,Otis Spann,2016-10-22 09:47:07,2,7,2016-10-22
98,Otis Spann,2016-11-05 09:47:07,2,8,2016-11-05
